
 Tabel Waktu antar Kedatangan di Bundaran
+-------------+------+------+---------+
|  Mobil ke-  |  xi  |  Ui  |  Ai(s)  |
|-------------+------+------+---------|
|      1      |  4   | 0.02 |    2    |
|      2      | 121  | 0.62 |   96    |
|      3      | 182  | 0.93 |   263   |
|      4      | 187  | 0.95 |   308   |
|      5      | 136  | 0.69 |   118   |
|      6      |  29  | 0.15 |   16    |
|      7      |  62  | 0.32 |   38    |
|      8      |  39  | 0.2  |   22    |
|      9      | 156  | 0.8  |   158   |
|     10      |  21  | 0.11 |   11    |
|     11      |  26  | 0.13 |   14    |
|     12      | 171  | 0.87 |   205   |
|     13      |  64  | 0.33 |   39    |
|     14      |  97  | 0.49 |   68    |
|     15      |  74  | 0.38 |   47    |
|     16      | 191  | 0.97 |   366   |
|     17      |  56  | 0.29 |   33    |
|     18      |  61  | 0.31 |   37    |
|     19      |  10  | 0.05 |    5    |
|     20      |  99  | 0.51 |   70    |
|     21      | 132  | 0.67 |   111   |
|     22      | 109  | 0.56 |   81    |
|     23      |  30  | 0.15 |   16    |
|     24      |  91  | 0.46 |   62    |
|     25      |  96  | 0.49 |   67    |
|     26      |  45  | 0.23 |   26    |
|     27      | 134  | 0.68 |   115   |
|     28      | 167  | 0.85 |   191   |
|     29      | 144  | 0.73 |   132   |
|     30      |  65  | 0.33 |   40    |
|     31      | 126  | 0.64 |   102   |
|     32      | 131  | 0.67 |   110   |
|     33      |  80  | 0.41 |   52    |
|     34      | 169  | 0.86 |   198   |
|     35      |  6   | 0.03 |    3    |
|     36      | 179  | 0.91 |   244   |
|     37      | 100  | 0.51 |   71    |
|     38      | 161  | 0.82 |   172   |
|     39      | 166  | 0.85 |   187   |
|     40      | 115  | 0.59 |   88    |
|     41      |  8   | 0.04 |    4    |
|     42      |  41  | 0.21 |   23    |
|     43      |  18  | 0.09 |    9    |
|     44      | 135  | 0.69 |   116   |
|     45      |  0   |  0   |    0    |
|     46      |  5   | 0.03 |    2    |
|     47      | 150  | 0.77 |   144   |
|     48      |  43  | 0.22 |   24    |
|     49      |  76  | 0.39 |   49    |
|     50      |  53  | 0.27 |   31    |
|     51      | 170  | 0.87 |   202   |
|     52      |  35  | 0.18 |   19    |
|     53      |  40  | 0.2  |   22    |
|     54      | 185  | 0.94 |   288   |
|     55      |  78  | 0.4  |   50    |
|     56      | 111  | 0.57 |   83    |
|     57      |  88  | 0.45 |   59    |
|     58      |  9   | 0.05 |    4    |
|     59      |  70  | 0.36 |   44    |
|     60      |  75  | 0.38 |   48    |
|     61      |  24  | 0.12 |   13    |
|     62      | 113  | 0.58 |   85    |
|     63      | 146  | 0.74 |   136   |
|     64      | 123  | 0.63 |   98    |
|     65      |  44  | 0.22 |   25    |
|     66      | 105  | 0.54 |   76    |
|     67      | 110  | 0.56 |   82    |
|     68      |  59  | 0.3  |   35    |
|     69      | 148  | 0.76 |   140   |
|     70      | 181  | 0.92 |   257   |
|     71      | 158  | 0.81 |   164   |
|     72      |  79  | 0.4  |   51    |
|     73      | 140  | 0.71 |   125   |
|     74      | 145  | 0.74 |   134   |
|     75      |  94  | 0.48 |   65    |
|     76      | 183  | 0.93 |   271   |
|     77      |  20  | 0.1  |   10    |
|     78      | 193  | 0.98 |   417   |
|     79      | 114  | 0.58 |   87    |
|     80      | 175  | 0.89 |   223   |
|     81      | 180  | 0.92 |   250   |
|     82      | 129  | 0.66 |   107   |
|     83      |  22  | 0.11 |   11    |
|     84      |  55  | 0.28 |   32    |
|     85      |  32  | 0.16 |   17    |
|     86      | 149  | 0.76 |   142   |
|     87      |  14  | 0.07 |    7    |
|     88      |  19  | 0.1  |   10    |
|     89      | 164  | 0.84 |   181   |
|     90      |  57  | 0.29 |   34    |
|     91      |  90  | 0.46 |   61    |
|     92      |  67  | 0.34 |   41    |
|     93      | 184  | 0.94 |   279   |
|     94      |  49  | 0.25 |   28    |
|     95      |  54  | 0.28 |   32    |
|     96      |  3   | 0.02 |    1    |
|     97      |  92  | 0.47 |   63    |
|     98      | 125  | 0.64 |   101   |
|     99      | 102  | 0.52 |   73    |
|     100     |  23  | 0.12 |   12    |
+-------------+------+------+---------+
 Keterangan : 
xi : LCG Antar waktu kedatangan
Ui : Uniform number
Ai : Waktu antar kedatangan
