
 Tabel Waktu di Bundaran
+-------------+------+------+---------+
|  Mobil ke-  |  yi  |  Ui  |  Si(s)  |
|-------------+------+------+---------|
|      1      | 132  | 0.66 |   107   |
|      2      | 179  | 0.9  |   225   |
|      3      | 166  | 0.83 |   177   |
|      4      |  93  | 0.46 |   62    |
|      5      | 160  | 0.8  |   160   |
|      6      | 167  | 0.84 |   180   |
|      7      | 114  | 0.57 |   84    |
|      8      |  1   |  0   |    0    |
|      9      |  28  | 0.14 |   15    |
|     10      | 195  | 0.98 |   368   |
|     11      | 102  | 0.51 |   71    |
|     12      | 149  | 0.74 |   136   |
|     13      | 136  | 0.68 |   113   |
|     14      |  63  | 0.32 |   37    |
|     15      | 130  | 0.65 |   104   |
|     16      | 137  | 0.68 |   115   |
|     17      |  84  | 0.42 |   54    |
|     18      | 171  | 0.86 |   193   |
|     19      | 198  | 0.99 |   460   |
|     20      | 165  | 0.82 |   174   |
|     21      |  72  | 0.36 |   44    |
|     22      | 119  | 0.6  |   90    |
|     23      | 106  | 0.53 |   75    |
|     24      |  33  | 0.16 |   18    |
|     25      | 100  | 0.5  |   69    |
|     26      | 107  | 0.54 |   76    |
|     27      |  54  | 0.27 |   31    |
|     28      | 141  | 0.7  |   122   |
|     29      | 168  | 0.84 |   183   |
|     30      | 135  | 0.68 |   112   |
|     31      |  42  | 0.21 |   23    |
|     32      |  89  | 0.44 |   58    |
|     33      |  76  | 0.38 |   47    |
|     34      |  3   | 0.02 |    1    |
|     35      |  70  | 0.35 |   43    |
|     36      |  77  | 0.38 |   48    |
|     37      |  24  | 0.12 |   12    |
|     38      | 111  | 0.56 |   80    |
|     39      | 138  | 0.69 |   117   |
|     40      | 105  | 0.52 |   74    |
|     41      |  12  | 0.06 |    6    |
|     42      |  59  | 0.3  |   34    |
|     43      |  46  | 0.23 |   26    |
|     44      | 173  | 0.86 |   200   |
|     45      |  40  | 0.2  |   22    |
|     46      |  47  | 0.24 |   26    |
|     47      | 194  | 0.97 |   350   |
|     48      |  81  | 0.4  |   51    |
|     49      | 108  | 0.54 |   77    |
|     50      |  75  | 0.38 |   47    |
|     51      | 182  | 0.91 |   240   |
|     52      |  29  | 0.14 |   15    |
|     53      |  16  | 0.08 |    8    |
|     54      | 143  | 0.72 |   125   |
|     55      |  10  | 0.05 |    5    |
|     56      |  17  | 0.08 |    8    |
|     57      | 164  | 0.82 |   171   |
|     58      |  51  | 0.26 |   29    |
|     59      |  78  | 0.39 |   49    |
|     60      |  45  | 0.22 |   25    |
|     61      | 152  | 0.76 |   142   |
|     62      | 199  |  1   |   529   |
|     63      | 186  | 0.93 |   265   |
|     64      | 113  | 0.56 |   83    |
|     65      | 180  | 0.9  |   230   |
|     66      | 187  | 0.94 |   273   |
|     67      | 134  | 0.67 |   110   |
|     68      |  21  | 0.1  |   11    |
|     69      |  48  | 0.24 |   27    |
|     70      |  15  | 0.08 |    7    |
|     71      | 122  | 0.61 |   94    |
|     72      | 169  | 0.84 |   186   |
|     73      | 156  | 0.78 |   151   |
|     74      |  83  | 0.42 |   53    |
|     75      | 150  | 0.75 |   138   |
|     76      | 157  | 0.78 |   153   |
|     77      | 104  | 0.52 |   73    |
|     78      | 191  | 0.96 |   310   |
|     79      |  18  | 0.09 |    9    |
|     80      | 185  | 0.92 |   259   |
|     81      |  92  | 0.46 |   61    |
|     82      | 139  | 0.7  |   118   |
|     83      | 126  | 0.63 |   99    |
|     84      |  53  | 0.26 |   30    |
|     85      | 120  | 0.6  |   91    |
|     86      | 127  | 0.64 |   100   |
|     87      |  74  | 0.37 |   46    |
|     88      | 161  | 0.8  |   163   |
|     89      | 188  | 0.94 |   281   |
|     90      | 155  | 0.78 |   149   |
|     91      |  62  | 0.31 |   37    |
|     92      | 109  | 0.55 |   78    |
|     93      |  96  | 0.48 |   65    |
|     94      |  23  | 0.12 |   12    |
|     95      |  90  | 0.45 |   59    |
|     96      |  97  | 0.48 |   66    |
|     97      |  44  | 0.22 |   24    |
|     98      | 131  | 0.66 |   106   |
|     99      | 158  | 0.79 |   156   |
|     100     | 125  | 0.62 |   98    |
+-------------+------+------+---------+
 Keterangan : 
yi : LCG waktu layanan
Ui : Uniform number
Si : Waktu layanan
